ville,lien,Taux de chômage (2006),Taux de chômage (2007),Taux de chômage (2008),Taux de chômage (2009),Taux de chômage (2010),Taux de chômage (2011),Taux de chômage (2012),Taux de chômage (2013),Taux de chômage (2014),Taux de chômage (2015),Taux de chômage (2016),Taux de chômage (2017),Moyenne France (2006),Moyenne France (2007),Moyenne France (2008),Moyenne France (2009),Moyenne France (2010),Moyenne France (2011),Moyenne France (2012),Moyenne France (2013),Moyenne France (2014),Moyenne France (2015),Moyenne France (2016),Moyenne France (2017)
Anse-Bertrand (97121),/management/ville/anse-bertrand/ville-97102,31.4,31.4,31.5,31.4,29.0,29.0,29.0,29.0,29.0,24.6,24.6,24.6,8.9,8.8,8.8,8.9,9.1,9.7,10.1,10.4,10.8,11.1,11.0,10.9
Baie-Mahault (97122),/management/ville/baie-mahault/ville-97103,19.3,19.7,18.8,18.7,19.2,20.3,19.7,20.6,20.6,19.9,18.8,19.3,8.9,8.8,8.8,8.9,9.1,9.7,10.1,10.4,10.8,11.1,11.0,10.9
Baillif (97123),/management/ville/baillif/ville-97104,32.3,30.0,30.0,30.0,30.0,30.0,31.3,31.3,31.4,31.4,31.4,32.3,8.9,8.8,8.8,8.9,9.1,9.7,10.1,10.4,10.8,11.1,11.0,10.9
Bouillante (97125),/management/ville/bouillante/ville-97106,40.8,40.8,40.8,40.8,32.7,32.7,32.7,32.7,32.7,33.9,33.9,33.9,8.9,8.8,8.8,8.9,9.1,9.7,10.1,10.4,10.8,11.1,11.0,10.9
Basse-Terre (97100),/management/ville/basse-terre/ville-97105,36.2,36.7,36.3,37.0,37.8,37.2,37.6,40.6,39.8,38.5,39.9,40.7,8.9,8.8,8.8,8.9,9.1,9.7,10.1,10.4,10.8,11.1,11.0,10.9
Capesterre-Belle-Eau (97130),/management/ville/capesterre-belle-eau/ville-97107,36.9,37.9,37.9,38.9,37.9,37.0,36.5,35.7,35.8,37.5,39.8,39.7,8.9,8.8,8.8,8.9,9.1,9.7,10.1,10.4,10.8,11.1,11.0,10.9
Capesterre-de-Marie-Galante (97140),/management/ville/capesterre-de-marie-galante/ville-97108,29.3,29.3,29.4,26.0,26.0,26.0,26.0,26.1,25.5,25.5,25.5,25.5,8.9,8.8,8.8,8.9,9.1,9.7,10.1,10.4,10.8,11.1,11.0,10.9
Grand-Bourg (97112),/management/ville/grand-bourg/ville-97112,28.1,28.1,28.1,27.9,27.9,27.9,27.9,27.9,27.0,27.0,27.0,26.9,8.9,8.8,8.8,8.9,9.1,9.7,10.1,10.4,10.8,11.1,11.0,10.9
Deshaies (97126),/management/ville/deshaies/ville-97111,27.7,27.7,27.7,27.7,27.6,27.7,27.6,27.6,27.7,27.7,27.2,27.2,8.9,8.8,8.8,8.9,9.1,9.7,10.1,10.4,10.8,11.1,11.0,10.9
La Désirade (97127),/management/ville/la-desirade/ville-97110,30.3,30.3,30.3,30.2,30.3,38.5,38.7,38.7,38.7,38.7,31.6,31.6,8.9,8.8,8.8,8.9,9.1,9.7,10.1,10.4,10.8,11.1,11.0,10.9
Goyave (97128),/management/ville/goyave/ville-97114,27.8,27.7,27.7,27.7,27.7,27.7,31.4,31.4,31.4,31.4,31.4,29.5,8.9,8.8,8.8,8.9,9.1,9.7,10.1,10.4,10.8,11.1,11.0,10.9
Gourbeyre (97113),/management/ville/gourbeyre/ville-97109,29.8,29.9,29.8,28.1,28.2,28.2,28.2,28.2,27.6,27.6,27.6,27.6,8.9,8.8,8.8,8.9,9.1,9.7,10.1,10.4,10.8,11.1,11.0,10.9
Petit-Bourg (97170),/management/ville/petit-bourg/ville-97118,24.0,24.0,23.9,22.9,22.7,22.9,22.4,23.2,23.6,24.1,24.3,24.6,8.9,8.8,8.8,8.9,9.1,9.7,10.1,10.4,10.8,11.1,11.0,10.9
Lamentin (97129),/management/ville/lamentin/ville-97115,28.2,28.4,29.4,28.1,28.1,28.0,27.7,27.2,28.1,27.6,27.8,27.2,8.9,8.8,8.8,8.9,9.1,9.7,10.1,10.4,10.8,11.1,11.0,10.9
Le Gosier (97190),/management/ville/le-gosier/ville-97113,25.3,24.8,24.1,23.9,23.8,23.1,22.4,22.5,23.0,22.5,22.9,22.9,8.9,8.8,8.8,8.9,9.1,9.7,10.1,10.4,10.8,11.1,11.0,10.9
Port-Louis (97117),/management/ville/port-louis/ville-97122,33.7,33.7,33.7,33.7,33.6,36.1,36.2,36.2,36.2,36.2,30.8,30.8,8.9,8.8,8.8,8.9,9.1,9.7,10.1,10.4,10.8,11.1,11.0,10.9
Saint-François (97118),/management/ville/saint-francois/ville-97125,28.5,28.2,27.1,27.2,28.0,28.2,28.2,29.1,29.7,29.7,28.7,27.9,8.9,8.8,8.8,8.9,9.1,9.7,10.1,10.4,10.8,11.1,11.0,10.9
Sainte-Anne (97180),/management/ville/sainte-anne/ville-97128,31.8,31.0,31.5,30.4,30.2,30.3,30.9,30.9,31.4,32.3,33.5,33.3,8.9,8.8,8.8,8.9,9.1,9.7,10.1,10.4,10.8,11.1,11.0,10.9
Saint-Claude (97120),/management/ville/saint-claude/ville-97124,20.6,21.3,21.6,20.5,18.5,19.5,19.2,19.6,20.1,21.2,21.1,20.9,8.9,8.8,8.8,8.9,9.1,9.7,10.1,10.4,10.8,11.1,11.0,10.9
Les Abymes (97139),/management/ville/les-abymes/ville-97101,28.0,27.7,28.8,30.2,30.2,31.6,32.1,32.1,32.1,32.7,31.8,31.3,8.9,8.8,8.8,8.9,9.1,9.7,10.1,10.4,10.8,11.1,11.0,10.9
Sainte-Rose (97115),/management/ville/sainte-rose/ville-97129,32.8,33.0,33.1,33.3,34.0,34.4,34.5,34.5,34.6,34.6,34.4,33.3,8.9,8.8,8.8,8.9,9.1,9.7,10.1,10.4,10.8,11.1,11.0,10.9
Petit-Canal (97131),/management/ville/petit-canal/ville-97119,30.5,30.4,27.8,27.8,27.8,27.8,27.8,26.8,26.8,26.8,26.8,26.8,8.9,8.8,8.8,8.9,9.1,9.7,10.1,10.4,10.8,11.1,11.0,10.9
Pointe-Noire (97116),/management/ville/pointe-noire/ville-97121,41.9,39.1,39.2,39.1,39.2,39.1,38.3,38.3,38.3,38.3,38.3,35.2,8.9,8.8,8.8,8.9,9.1,9.7,10.1,10.4,10.8,11.1,11.0,10.9
Saint-Louis (97134),/management/ville/saint-louis/ville-97126,33.6,33.6,33.5,27.6,27.6,27.6,27.6,27.6,29.7,29.6,29.7,29.7,8.9,8.8,8.8,8.9,9.1,9.7,10.1,10.4,10.8,11.1,11.0,10.9
Trois-Rivières (97114),/management/ville/trois-rivieres/ville-97132,29.1,29.1,27.8,27.9,27.9,27.9,27.9,27.2,27.2,27.2,27.2,27.2,8.9,8.8,8.8,8.9,9.1,9.7,10.1,10.4,10.8,11.1,11.0,10.9
Pointe-à-Pitre (97110),/management/ville/pointe-a-pitre/ville-97120,30.5,31.2,31.8,32.8,33.6,35.2,35.1,37.0,37.0,37.2,37.2,38.0,8.9,8.8,8.8,8.9,9.1,9.7,10.1,10.4,10.8,11.1,11.0,10.9
Morne-à-l'Eau (97111),/management/ville/morne-a-l-eau/ville-97116,33.1,33.1,32.7,29.3,28.0,27.2,27.6,27.0,28.4,28.6,27.8,28.6,8.9,8.8,8.8,8.9,9.1,9.7,10.1,10.4,10.8,11.1,11.0,10.9
Terre-de-Haut (97137),/management/ville/terre-de-haut/ville-97131,23.7,23.6,22.3,22.3,22.3,22.3,22.4,16.4,16.4,16.5,16.4,16.5,8.9,8.8,8.8,8.9,9.1,9.7,10.1,10.4,10.8,11.1,11.0,10.9
Le Moule (97160),/management/ville/le-moule/ville-97117,31.8,30.4,31.7,31.6,30.9,30.2,29.7,29.8,31.0,32.7,32.9,34.0,8.9,8.8,8.8,8.9,9.1,9.7,10.1,10.4,10.8,11.1,11.0,10.9
Terre-de-Bas (97136),/management/ville/terre-de-bas/ville-97130,36.6,36.8,28.6,28.5,28.6,28.7,28.8,34.4,34.5,34.5,34.5,34.4,8.9,8.8,8.8,8.9,9.1,9.7,10.1,10.4,10.8,11.1,11.0,10.9
Vieux-Fort (97141),/management/ville/vieux-fort/ville-97133,24.1,24.1,24.1,24.1,29.9,30.0,29.9,29.9,29.9,28.6,28.7,28.6,8.9,8.8,8.8,8.9,9.1,9.7,10.1,10.4,10.8,11.1,11.0,10.9
Vieux-Habitants (97119),/management/ville/vieux-habitants/ville-97134,31.5,31.5,31.5,31.5,31.5,36.9,37.1,37.0,37.0,37.1,34.9,35.0,8.9,8.8,8.8,8.9,9.1,9.7,10.1,10.4,10.8,11.1,11.0,10.9
